arm,template_id,family,reducer,combiner,target_power,status,crossings_json,monotonic_non_decreasing,interpolation_or_extrapolation_performed
paired300,O_PLANAR,FROZEN_MES_10,LOO_ECDF_MIDRANK_V1,MIN_LOCAL_P_V1,0.5,NOT_REACHED_ON_GRID,[],True,False
paired300,O_PLANAR,FROZEN_MES_10,LOO_ECDF_MIDRANK_V1,MIN_LOCAL_P_V1,0.9,NOT_REACHED_ON_GRID,[],True,False
paired300,MIX_AXIAL,FROZEN_MES_10,LOO_ECDF_MIDRANK_V1,MIN_LOCAL_P_V1,0.5,NOT_REACHED_ON_GRID,[],True,False
paired300,MIX_AXIAL,FROZEN_MES_10,LOO_ECDF_MIDRANK_V1,MIN_LOCAL_P_V1,0.9,NOT_REACHED_ON_GRID,[],True,False
paired300,MIX_PLANAR,FROZEN_MES_10,LOO_ECDF_MIDRANK_V1,MIN_LOCAL_P_V1,0.5,NOT_REACHED_ON_GRID,[],True,False
paired300,MIX_PLANAR,FROZEN_MES_10,LOO_ECDF_MIDRANK_V1,MIN_LOCAL_P_V1,0.9,NOT_REACHED_ON_GRID,[],True,False
paired300,MIX_GENERIC,FROZEN_MES_10,LOO_ECDF_MIDRANK_V1,MIN_LOCAL_P_V1,0.5,NOT_REACHED_ON_GRID,[],True,False
paired300,MIX_GENERIC,FROZEN_MES_10,LOO_ECDF_MIDRANK_V1,MIN_LOCAL_P_V1,0.9,NOT_REACHED_ON_GRID,[],True,False
paired300,Q_AXIAL,FROZEN_MES_10,LOO_ECDF_MIDRANK_V1,EXACT_INTEGER_FISHER_PRODUCT_FINITE_POOL_V1,0.5,GRID_CROSSINGS,"[{""amplitude_bracket"": [1.0, 2.0], ""direction"": ""up""}]",False,False
paired300,Q_AXIAL,FROZEN_MES_10,LOO_ECDF_MIDRANK_V1,EXACT_INTEGER_FISHER_PRODUCT_FINITE_POOL_V1,0.9,GRID_CROSSINGS,"[{""amplitude_bracket"": [2.0, 4.0], ""direction"": ""up""}]",False,False
paired300,O_PLANAR,FROZEN_MES_10,LOO_ECDF_MIDRANK_V1,EXACT_INTEGER_FISHER_PRODUCT_FINITE_POOL_V1,0.5,GRID_CROSSINGS,"[{""amplitude_bracket"": [4.0, 8.0], ""direction"": ""up""}]",True,False
paired300,O_PLANAR,FROZEN_MES_10,LOO_ECDF_MIDRANK_V1,EXACT_INTEGER_FISHER_PRODUCT_FINITE_POOL_V1,0.9,GRID_CROSSINGS,"[{""amplitude_bracket"": [4.0, 8.0], ""direction"": ""up""}]",True,False
paired300,MIX_AXIAL,FROZEN_MES_10,LOO_ECDF_MIDRANK_V1,EXACT_INTEGER_FISHER_PRODUCT_FINITE_POOL_V1,0.5,GRID_CROSSINGS,"[{""amplitude_bracket"": [2.0, 4.0], ""direction"": ""up""}]",True,False
paired300,MIX_AXIAL,FROZEN_MES_10,LOO_ECDF_MIDRANK_V1,EXACT_INTEGER_FISHER_PRODUCT_FINITE_POOL_V1,0.9,GRID_CROSSINGS,"[{""amplitude_bracket"": [2.0, 4.0], ""direction"": ""up""}]",True,False
paired300,MIX_PLANAR,FROZEN_MES_10,LOO_ECDF_MIDRANK_V1,EXACT_INTEGER_FISHER_PRODUCT_FINITE_POOL_V1,0.5,GRID_CROSSINGS,"[{""amplitude_bracket"": [2.0, 4.0], ""direction"": ""up""}]",True,False
paired300,MIX_PLANAR,FROZEN_MES_10,LOO_ECDF_MIDRANK_V1,EXACT_INTEGER_FISHER_PRODUCT_FINITE_POOL_V1,0.9,GRID_CROSSINGS,"[{""amplitude_bracket"": [4.0, 8.0], ""direction"": ""up""}]",True,False
paired300,MIX_GENERIC,FROZEN_MES_10,LOO_ECDF_MIDRANK_V1,EXACT_INTEGER_FISHER_PRODUCT_FINITE_POOL_V1,0.5,NOT_REACHED_ON_GRID,[],False,False
paired300,MIX_GENERIC,FROZEN_MES_10,LOO_ECDF_MIDRANK_V1,EXACT_INTEGER_FISHER_PRODUCT_FINITE_POOL_V1,0.9,NOT_REACHED_ON_GRID,[],False,False
paired300,Q_AXIAL,FROZEN_FRAME_FREE_IRREP_8,LEGACY_ABSOLUTE_MEDIAN_V1,MIN_LOCAL_P_V1,0.5,GRID_CROSSINGS,"[{""amplitude_bracket"": [1.0, 2.0], ""direction"": ""up""}]",True,False
paired300,Q_AXIAL,FROZEN_FRAME_FREE_IRREP_8,LEGACY_ABSOLUTE_MEDIAN_V1,MIN_LOCAL_P_V1,0.9,GRID_CROSSINGS,"[{""amplitude_bracket"": [1.0, 2.0], ""direction"": ""up""}]",True,False
paired300,O_PLANAR,FROZEN_FRAME_FREE_IRREP_8,LEGACY_ABSOLUTE_MEDIAN_V1,MIN_LOCAL_P_V1,0.5,GRID_CROSSINGS,"[{""amplitude_bracket"": [0.5, 1.0], ""direction"": ""up""}]",True,False
paired300,O_PLANAR,FROZEN_FRAME_FREE_IRREP_8,LEGACY_ABSOLUTE_MEDIAN_V1,MIN_LOCAL_P_V1,0.9,GRID_CROSSINGS,"[{""amplitude_bracket"": [1.0, 2.0], ""direction"": ""up""}]",True,False
paired300,MIX_AXIAL,FROZEN_FRAME_FREE_IRREP_8,LEGACY_ABSOLUTE_MEDIAN_V1,MIN_LOCAL_P_V1,0.5,GRID_CROSSINGS,"[{""amplitude_bracket"": [1.0, 2.0], ""direction"": ""up""}]",True,False
paired300,MIX_AXIAL,FROZEN_FRAME_FREE_IRREP_8,LEGACY_ABSOLUTE_MEDIAN_V1,MIN_LOCAL_P_V1,0.9,GRID_CROSSINGS,"[{""amplitude_bracket"": [1.0, 2.0], ""direction"": ""up""}]",True,False
paired300,MIX_PLANAR,FROZEN_FRAME_FREE_IRREP_8,LEGACY_ABSOLUTE_MEDIAN_V1,MIN_LOCAL_P_V1,0.5,GRID_CROSSINGS,"[{""amplitude_bracket"": [1.0, 2.0], ""direction"": ""up""}]",True,False
paired300,MIX_PLANAR,FROZEN_FRAME_FREE_IRREP_8,LEGACY_ABSOLUTE_MEDIAN_V1,MIN_LOCAL_P_V1,0.9,GRID_CROSSINGS,"[{""amplitude_bracket"": [1.0, 2.0], ""direction"": ""up""}]",True,False
paired300,MIX_GENERIC,FROZEN_FRAME_FREE_IRREP_8,LEGACY_ABSOLUTE_MEDIAN_V1,MIN_LOCAL_P_V1,0.5,GRID_CROSSINGS,"[{""amplitude_bracket"": [1.0, 2.0], ""direction"": ""up""}]",True,False
paired300,MIX_GENERIC,FROZEN_FRAME_FREE_IRREP_8,LEGACY_ABSOLUTE_MEDIAN_V1,MIN_LOCAL_P_V1,0.9,GRID_CROSSINGS,"[{""amplitude_bracket"": [1.0, 2.0], ""direction"": ""up""}]",True,False
paired300,Q_AXIAL,FROZEN_FRAME_FREE_IRREP_8,LEGACY_ABSOLUTE_MEDIAN_V1,EXACT_INTEGER_FISHER_PRODUCT_FINITE_POOL_V1,0.5,NOT_REACHED_ON_GRID,[],True,False
paired300,Q_AXIAL,FROZEN_FRAME_FREE_IRREP_8,LEGACY_ABSOLUTE_MEDIAN_V1,EXACT_INTEGER_FISHER_PRODUCT_FINITE_POOL_V1,0.9,NOT_REACHED_ON_GRID,[],True,False
paired300,O_PLANAR,FROZEN_FRAME_FREE_IRREP_8,LEGACY_ABSOLUTE_MEDIAN_V1,EXACT_INTEGER_FISHER_PRODUCT_FINITE_POOL_V1,0.5,NOT_REACHED_ON_GRID,[],True,False
paired300,O_PLANAR,FROZEN_FRAME_FREE_IRREP_8,LEGACY_ABSOLUTE_MEDIAN_V1,EXACT_INTEGER_FISHER_PRODUCT_FINITE_POOL_V1,0.9,NOT_REACHED_ON_GRID,[],True,False
paired300,MIX_AXIAL,FROZEN_FRAME_FREE_IRREP_8,LEGACY_ABSOLUTE_MEDIAN_V1,EXACT_INTEGER_FISHER_PRODUCT_FINITE_POOL_V1,0.5,GRID_CROSSINGS,"[{""amplitude_bracket"": [1.0, 2.0], ""direction"": ""up""}]",True,False
paired300,MIX_AXIAL,FROZEN_FRAME_FREE_IRREP_8,LEGACY_ABSOLUTE_MEDIAN_V1,EXACT_INTEGER_FISHER_PRODUCT_FINITE_POOL_V1,0.9,GRID_CROSSINGS,"[{""amplitude_bracket"": [1.0, 2.0], ""direction"": ""up""}]",True,False
paired300,MIX_PLANAR,FROZEN_FRAME_FREE_IRREP_8,LEGACY_ABSOLUTE_MEDIAN_V1,EXACT_INTEGER_FISHER_PRODUCT_FINITE_POOL_V1,0.5,GRID_CROSSINGS,"[{""amplitude_bracket"": [1.0, 2.0], ""direction"": ""up""}]",True,False
paired300,MIX_PLANAR,FROZEN_FRAME_FREE_IRREP_8,LEGACY_ABSOLUTE_MEDIAN_V1,EXACT_INTEGER_FISHER_PRODUCT_FINITE_POOL_V1,0.9,GRID_CROSSINGS,"[{""amplitude_bracket"": [1.0, 2.0], ""direction"": ""up""}]",True,False
paired300,MIX_GENERIC,FROZEN_FRAME_FREE_IRREP_8,LEGACY_ABSOLUTE_MEDIAN_V1,EXACT_INTEGER_FISHER_PRODUCT_FINITE_POOL_V1,0.5,GRID_CROSSINGS,"[{""amplitude_bracket"": [1.0, 2.0], ""direction"": ""up""}]",True,False
paired300,MIX_GENERIC,FROZEN_FRAME_FREE_IRREP_8,LEGACY_ABSOLUTE_MEDIAN_V1,EXACT_INTEGER_FISHER_PRODUCT_FINITE_POOL_V1,0.9,NOT_REACHED_ON_GRID,[],True,False
paired300,Q_AXIAL,FROZEN_FRAME_FREE_IRREP_8,LOO_ECDF_MIDRANK_V1,MIN_LOCAL_P_V1,0.5,NOT_REACHED_ON_GRID,[],False,False
paired300,Q_AXIAL,FROZEN_FRAME_FREE_IRREP_8,LOO_ECDF_MIDRANK_V1,MIN_LOCAL_P_V1,0.9,NOT_REACHED_ON_GRID,[],False,False
paired300,O_PLANAR,FROZEN_FRAME_FREE_IRREP_8,LOO_ECDF_MIDRANK_V1,MIN_LOCAL_P_V1,0.5,NOT_REACHED_ON_GRID,[],False,False
paired300,O_PLANAR,FROZEN_FRAME_FREE_IRREP_8,LOO_ECDF_MIDRANK_V1,MIN_LOCAL_P_V1,0.9,NOT_REACHED_ON_GRID,[],False,False
paired300,MIX_AXIAL,FROZEN_FRAME_FREE_IRREP_8,LOO_ECDF_MIDRANK_V1,MIN_LOCAL_P_V1,0.5,GRID_CROSSINGS,"[{""amplitude_bracket"": [2.0, 4.0], ""direction"": ""up""}]",True,False
paired300,MIX_AXIAL,FROZEN_FRAME_FREE_IRREP_8,LOO_ECDF_MIDRANK_V1,MIN_LOCAL_P_V1,0.9,GRID_CROSSINGS,"[{""amplitude_bracket"": [2.0, 4.0], ""direction"": ""up""}]",True,False
paired300,MIX_PLANAR,FROZEN_FRAME_FREE_IRREP_8,LOO_ECDF_MIDRANK_V1,MIN_LOCAL_P_V1,0.5,NOT_REACHED_ON_GRID,[],True,False
paired300,MIX_PLANAR,FROZEN_FRAME_FREE_IRREP_8,LOO_ECDF_MIDRANK_V1,MIN_LOCAL_P_V1,0.9,NOT_REACHED_ON_GRID,[],True,False
paired300,MIX_GENERIC,FROZEN_FRAME_FREE_IRREP_8,LOO_ECDF_MIDRANK_V1,MIN_LOCAL_P_V1,0.5,NOT_REACHED_ON_GRID,[],False,False
paired300,MIX_GENERIC,FROZEN_FRAME_FREE_IRREP_8,LOO_ECDF_MIDRANK_V1,MIN_LOCAL_P_V1,0.9,NOT_REACHED_ON_GRID,[],False,False
paired300,Q_AXIAL,FROZEN_FRAME_FREE_IRREP_8,LOO_ECDF_MIDRANK_V1,EXACT_INTEGER_FISHER_PRODUCT_FINITE_POOL_V1,0.5,NOT_REACHED_ON_GRID,[],False,False
paired300,Q_AXIAL,FROZEN_FRAME_FREE_IRREP_8,LOO_ECDF_MIDRANK_V1,EXACT_INTEGER_FISHER_PRODUCT_FINITE_POOL_V1,0.9,NOT_REACHED_ON_GRID,[],False,False
paired300,O_PLANAR,FROZEN_FRAME_FREE_IRREP_8,LOO_ECDF_MIDRANK_V1,EXACT_INTEGER_FISHER_PRODUCT_FINITE_POOL_V1,0.5,NOT_REACHED_ON_GRID,[],False,False
paired300,O_PLANAR,FROZEN_FRAME_FREE_IRREP_8,LOO_ECDF_MIDRANK_V1,EXACT_INTEGER_FISHER_PRODUCT_FINITE_POOL_V1,0.9,NOT_REACHED_ON_GRID,[],False,False
paired300,MIX_AXIAL,FROZEN_FRAME_FREE_IRREP_8,LOO_ECDF_MIDRANK_V1,EXACT_INTEGER_FISHER_PRODUCT_FINITE_POOL_V1,0.5,GRID_CROSSINGS,"[{""amplitude_bracket"": [1.0, 2.0], ""direction"": ""up""}]",False,False
paired300,MIX_AXIAL,FROZEN_FRAME_FREE_IRREP_8,LOO_ECDF_MIDRANK_V1,EXACT_INTEGER_FISHER_PRODUCT_FINITE_POOL_V1,0.9,GRID_CROSSINGS,"[{""amplitude_bracket"": [1.0, 2.0], ""direction"": ""up""}]",False,False
paired300,MIX_PLANAR,FROZEN_FRAME_FREE_IRREP_8,LOO_ECDF_MIDRANK_V1,EXACT_INTEGER_FISHER_PRODUCT_FINITE_POOL_V1,0.5,GRID_CROSSINGS,"[{""amplitude_bracket"": [1.0, 2.0], ""direction"": ""up""}]",False,False
paired300,MIX_PLANAR,FROZEN_FRAME_FREE_IRREP_8,LOO_ECDF_MIDRANK_V1,EXACT_INTEGER_FISHER_PRODUCT_FINITE_POOL_V1,0.9,GRID_CROSSINGS,"[{""amplitude_bracket"": [1.0, 2.0], ""direction"": ""up""}]",False,False
paired300,MIX_GENERIC,FROZEN_FRAME_FREE_IRREP_8,LOO_ECDF_MIDRANK_V1,EXACT_INTEGER_FISHER_PRODUCT_FINITE_POOL_V1,0.5,NOT_REACHED_ON_GRID,[],False,False
paired300,MIX_GENERIC,FROZEN_FRAME_FREE_IRREP_8,LOO_ECDF_MIDRANK_V1,EXACT_INTEGER_FISHER_PRODUCT_FINITE_POOL_V1,0.9,NOT_REACHED_ON_GRID,[],False,False
cmbonly999,Q_AXIAL,FROZEN_MES_10,LEGACY_ABSOLUTE_MEDIAN_V1,MIN_LOCAL_P_V1,0.5,GRID_CROSSINGS,"[{""amplitude_bracket"": [1.0, 2.0], ""direction"": ""up""}]",True,False
cmbonly999,Q_AXIAL,FROZEN_MES_10,LEGACY_ABSOLUTE_MEDIAN_V1,MIN_LOCAL_P_V1,0.9,GRID_CROSSINGS,"[{""amplitude_bracket"": [1.0, 2.0], ""direction"": ""up""}]",True,False
cmbonly999,O_PLANAR,FROZEN_MES_10,LEGACY_ABSOLUTE_MEDIAN_V1,MIN_LOCAL_P_V1,0.5,GRID_CROSSINGS,"[{""amplitude_bracket"": [4.0, 8.0], ""direction"": ""up""}]",False,False
cmbonly999,O_PLANAR,FROZEN_MES_10,LEGACY_ABSOLUTE_MEDIAN_V1,MIN_LOCAL_P_V1,0.9,NOT_REACHED_ON_GRID,[],False,False
cmbonly999,MIX_AXIAL,FROZEN_MES_10,LEGACY_ABSOLUTE_MEDIAN_V1,MIN_LOCAL_P_V1,0.5,GRID_CROSSINGS,"[{""amplitude_bracket"": [1.0, 2.0], ""direction"": ""up""}]",True,False
cmbonly999,MIX_AXIAL,FROZEN_MES_10,LEGACY_ABSOLUTE_MEDIAN_V1,MIN_LOCAL_P_V1,0.9,GRID_CROSSINGS,"[{""amplitude_bracket"": [2.0, 4.0], ""direction"": ""up""}]",True,False
cmbonly999,MIX_PLANAR,FROZEN_MES_10,LEGACY_ABSOLUTE_MEDIAN_V1,MIN_LOCAL_P_V1,0.5,GRID_CROSSINGS,"[{""amplitude_bracket"": [1.0, 2.0], ""direction"": ""up""}]",True,False
cmbonly999,MIX_PLANAR,FROZEN_MES_10,LEGACY_ABSOLUTE_MEDIAN_V1,MIN_LOCAL_P_V1,0.9,GRID_CROSSINGS,"[{""amplitude_bracket"": [2.0, 4.0], ""direction"": ""up""}]",True,False
cmbonly999,MIX_GENERIC,FROZEN_MES_10,LEGACY_ABSOLUTE_MEDIAN_V1,MIN_LOCAL_P_V1,0.5,GRID_CROSSINGS,"[{""amplitude_bracket"": [1.0, 2.0], ""direction"": ""up""}]",True,False
cmbonly999,MIX_GENERIC,FROZEN_MES_10,LEGACY_ABSOLUTE_MEDIAN_V1,MIN_LOCAL_P_V1,0.9,GRID_CROSSINGS,"[{""amplitude_bracket"": [2.0, 4.0], ""direction"": ""up""}]",True,False
cmbonly999,Q_AXIAL,FROZEN_MES_10,LEGACY_ABSOLUTE_MEDIAN_V1,EXACT_INTEGER_FISHER_PRODUCT_FINITE_POOL_V1,0.5,GRID_CROSSINGS,"[{""amplitude_bracket"": [1.0, 2.0], ""direction"": ""up""}]",True,False
cmbonly999,Q_AXIAL,FROZEN_MES_10,LEGACY_ABSOLUTE_MEDIAN_V1,EXACT_INTEGER_FISHER_PRODUCT_FINITE_POOL_V1,0.9,GRID_CROSSINGS,"[{""amplitude_bracket"": [1.0, 2.0], ""direction"": ""up""}]",True,False
cmbonly999,O_PLANAR,FROZEN_MES_10,LEGACY_ABSOLUTE_MEDIAN_V1,EXACT_INTEGER_FISHER_PRODUCT_FINITE_POOL_V1,0.5,GRID_CROSSINGS,"[{""amplitude_bracket"": [4.0, 8.0], ""direction"": ""up""}]",False,False
cmbonly999,O_PLANAR,FROZEN_MES_10,LEGACY_ABSOLUTE_MEDIAN_V1,EXACT_INTEGER_FISHER_PRODUCT_FINITE_POOL_V1,0.9,NOT_REACHED_ON_GRID,[],False,False
cmbonly999,MIX_AXIAL,FROZEN_MES_10,LEGACY_ABSOLUTE_MEDIAN_V1,EXACT_INTEGER_FISHER_PRODUCT_FINITE_POOL_V1,0.5,GRID_CROSSINGS,"[{""amplitude_bracket"": [1.0, 2.0], ""direction"": ""up""}]",True,False
cmbonly999,MIX_AXIAL,FROZEN_MES_10,LEGACY_ABSOLUTE_MEDIAN_V1,EXACT_INTEGER_FISHER_PRODUCT_FINITE_POOL_V1,0.9,GRID_CROSSINGS,"[{""amplitude_bracket"": [2.0, 4.0], ""direction"": ""up""}]",True,False
cmbonly999,MIX_PLANAR,FROZEN_MES_10,LEGACY_ABSOLUTE_MEDIAN_V1,EXACT_INTEGER_FISHER_PRODUCT_FINITE_POOL_V1,0.5,GRID_CROSSINGS,"[{""amplitude_bracket"": [2.0, 4.0], ""direction"": ""up""}]",True,False
cmbonly999,MIX_PLANAR,FROZEN_MES_10,LEGACY_ABSOLUTE_MEDIAN_V1,EXACT_INTEGER_FISHER_PRODUCT_FINITE_POOL_V1,0.9,GRID_CROSSINGS,"[{""amplitude_bracket"": [4.0, 8.0], ""direction"": ""up""}]",True,False
cmbonly999,MIX_GENERIC,FROZEN_MES_10,LEGACY_ABSOLUTE_MEDIAN_V1,EXACT_INTEGER_FISHER_PRODUCT_FINITE_POOL_V1,0.5,NOT_REACHED_ON_GRID,[],False,False
cmbonly999,MIX_GENERIC,FROZEN_MES_10,LEGACY_ABSOLUTE_MEDIAN_V1,EXACT_INTEGER_FISHER_PRODUCT_FINITE_POOL_V1,0.9,NOT_REACHED_ON_GRID,[],False,False
cmbonly999,Q_AXIAL,FROZEN_MES_10,LOO_ECDF_MIDRANK_V1,MIN_LOCAL_P_V1,0.5,NOT_REACHED_ON_GRID,[],True,False
cmbonly999,Q_AXIAL,FROZEN_MES_10,LOO_ECDF_MIDRANK_V1,MIN_LOCAL_P_V1,0.9,NOT_REACHED_ON_GRID,[],True,False
cmbonly999,O_PLANAR,FROZEN_MES_10,LOO_ECDF_MIDRANK_V1,MIN_LOCAL_P_V1,0.5,NOT_REACHED_ON_GRID,[],True,False
cmbonly999,O_PLANAR,FROZEN_MES_10,LOO_ECDF_MIDRANK_V1,MIN_LOCAL_P_V1,0.9,NOT_REACHED_ON_GRID,[],True,False
cmbonly999,MIX_AXIAL,FROZEN_MES_10,LOO_ECDF_MIDRANK_V1,MIN_LOCAL_P_V1,0.5,NOT_REACHED_ON_GRID,[],True,False
cmbonly999,MIX_AXIAL,FROZEN_MES_10,LOO_ECDF_MIDRANK_V1,MIN_LOCAL_P_V1,0.9,NOT_REACHED_ON_GRID,[],True,False
cmbonly999,MIX_PLANAR,FROZEN_MES_10,LOO_ECDF_MIDRANK_V1,MIN_LOCAL_P_V1,0.5,NOT_REACHED_ON_GRID,[],True,False
cmbonly999,MIX_PLANAR,FROZEN_MES_10,LOO_ECDF_MIDRANK_V1,MIN_LOCAL_P_V1,0.9,NOT_REACHED_ON_GRID,[],True,False
cmbonly999,MIX_GENERIC,FROZEN_MES_10,LOO_ECDF_MIDRANK_V1,MIN_LOCAL_P_V1,0.5,NOT_REACHED_ON_GRID,[],True,False
cmbonly999,MIX_GENERIC,FROZEN_MES_10,LOO_ECDF_MIDRANK_V1,MIN_LOCAL_P_V1,0.9,NOT_REACHED_ON_GRID,[],True,False
cmbonly999,Q_AXIAL,FROZEN_MES_10,LOO_ECDF_MIDRANK_V1,EXACT_INTEGER_FISHER_PRODUCT_FINITE_POOL_V1,0.5,GRID_CROSSINGS,"[{""amplitude_bracket"": [1.0, 2.0], ""direction"": ""up""}]",True,False
cmbonly999,Q_AXIAL,FROZEN_MES_10,LOO_ECDF_MIDRANK_V1,EXACT_INTEGER_FISHER_PRODUCT_FINITE_POOL_V1,0.9,GRID_CROSSINGS,"[{""amplitude_bracket"": [2.0, 4.0], ""direction"": ""up""}]",True,False
cmbonly999,O_PLANAR,FROZEN_MES_10,LOO_ECDF_MIDRANK_V1,EXACT_INTEGER_FISHER_PRODUCT_FINITE_POOL_V1,0.5,GRID_CROSSINGS,"[{""amplitude_bracket"": [4.0, 8.0], ""direction"": ""up""}]",True,False
cmbonly999,O_PLANAR,FROZEN_MES_10,LOO_ECDF_MIDRANK_V1,EXACT_INTEGER_FISHER_PRODUCT_FINITE_POOL_V1,0.9,GRID_CROSSINGS,"[{""amplitude_bracket"": [4.0, 8.0], ""direction"": ""up""}]",True,False
cmbonly999,MIX_AXIAL,FROZEN_MES_10,LOO_ECDF_MIDRANK_V1,EXACT_INTEGER_FISHER_PRODUCT_FINITE_POOL_V1,0.5,GRID_CROSSINGS,"[{""amplitude_bracket"": [2.0, 4.0], ""direction"": ""up""}]",True,False
